customer_id,invoice_date,order_value,cumulative_lifetime_spend
12346.0,2011-01-18 10:01:00,77183.6,77183.6
12347.0,2010-12-07 14:57:00,711.79,711.79
12347.0,2011-01-26 14:30:00,475.39,1187.18
12347.0,2011-04-07 10:43:00,636.25,1823.43
12347.0,2011-06-09 13:01:00,382.52,2205.95
12347.0,2011-08-02 08:48:00,584.91,2790.86
12347.0,2011-10-31 12:25:00,1294.32,4085.18
12347.0,2011-12-07 15:52:00,224.82,4310.0
12348.0,2010-12-16 19:09:00,892.8,892.8
12348.0,2011-01-25 10:42:00,227.44,1120.24
12348.0,2011-04-05 10:47:00,367.0,1487.24
12348.0,2011-09-25 13:13:00,310.0,1797.24
12349.0,2011-11-21 09:51:00,1757.55,1757.55
12350.0,2011-02-02 16:01:00,334.4,334.4
12352.0,2011-02-16 12:33:00,296.5,296.5
12352.0,2011-03-01 14:57:00,144.35,440.85
12352.0,2011-03-01 15:52:00,840.3,1281.15
12352.0,2011-03-17 16:00:00,120.33,1401.48
12352.0,2011-03-22 16:08:00,160.33,1561.81
12352.0,2011-09-20 14:34:00,366.25,1928.06
12352.0,2011-09-28 14:58:00,266.25,2194.31
12352.0,2011-11-03 14:37:00,311.73,2506.04
12353.0,2011-05-19 17:47:00,89.0,89.0
12354.0,2011-04-21 13:11:00,1079.4,1079.4
12355.0,2011-05-09 13:49:00,459.4,459.4
12356.0,2011-01-18 09:50:00,2271.62,2271.62
12356.0,2011-04-08 12:33:00,481.46,2753.08
12356.0,2011-11-17 08:40:00,58.35,2811.43
12357.0,2011-11-06 16:07:00,6207.67,6207.67
12358.0,2011-07-12 10:04:00,484.86,484.86
12358.0,2011-12-08 10:26:00,683.2,1168.06
12359.0,2011-01-12 12:43:00,547.5,547.5
12359.0,2011-02-07 14:51:00,1838.91,2386.41
12359.0,2011-06-03 12:26:00,1109.32,3495.73
12359.0,2011-10-13 12:47:00,2876.85,6372.58
12360.0,2011-05-23 09:43:00,1083.58,1083.58
12360.0,2011-08-19 10:10:00,534.7,1618.28
12360.0,2011-10-18 15:22:00,1043.78,2662.06
12361.0,2011-02-25 13:51:00,189.9,189.9
12362.0,2011-02-17 10:30:00,479.1,479.1
12362.0,2011-04-28 09:12:00,495.24,974.34
12362.0,2011-07-07 12:32:00,303.76,1278.1
12362.0,2011-08-11 15:02:00,469.25,1747.35
12362.0,2011-09-28 12:04:00,829.99,2577.34
12362.0,2011-10-11 14:33:00,355.8,2933.14
12362.0,2011-10-26 13:47:00,786.95,3720.09
12362.0,2011-10-28 10:10:00,499.16,4219.25
12362.0,2011-11-04 09:07:00,477.94,4697.19
12362.0,2011-12-06 15:40:00,529.04,5226.23
12363.0,2011-04-11 13:29:00,299.1,299.1
12363.0,2011-08-22 10:18:00,252.9,552.0
12364.0,2011-08-19 15:24:00,623.92,623.92
12364.0,2011-09-22 16:07:00,79.8,703.72
12364.0,2011-10-30 15:43:00,299.06,1002.78
12364.0,2011-12-02 10:22:00,310.32,1313.1
12365.0,2011-02-21 13:51:00,320.69,320.69
12365.0,2011-02-21 14:04:00,320.69,641.38
12367.0,2011-12-05 16:48:00,168.9,168.9
12370.0,2010-12-14 12:58:00,1590.82,1590.82
12370.0,2010-12-17 09:38:00,277.2,1868.02
12370.0,2011-03-10 12:48:00,938.39,2806.41
12370.0,2011-10-19 14:51:00,739.28,3545.69
12371.0,2011-10-11 10:43:00,1527.96,1527.96
12371.0,2011-10-26 10:16:00,360.0,1887.96
12372.0,2011-02-16 12:46:00,399.22,399.22
12372.0,2011-05-11 10:43:00,515.7,914.92
12372.0,2011-09-29 12:12:00,383.12,1298.04
12373.0,2011-02-01 13:10:00,364.6,364.6
12374.0,2011-11-14 15:37:00,742.93,742.93
12375.0,2011-09-02 14:23:00,230.3,230.3
12375.0,2011-11-29 10:36:00,227.2,457.5
12377.0,2010-12-20 09:37:00,1001.52,1001.52
12377.0,2011-01-28 15:45:00,626.6,1628.12
12378.0,2011-08-02 10:34:00,4008.62,4008.62
12379.0,2011-06-22 16:32:00,459.84,459.84
12379.0,2011-09-19 10:09:00,392.4,852.24
12380.0,2011-06-07 09:49:00,607.55,607.55
12380.0,2011-09-22 17:31:00,626.01,1233.56
12380.0,2011-10-14 11:39:00,450.86,1684.42
12380.0,2011-11-18 11:27:00,1040.39,2724.81
12381.0,2011-08-12 09:57:00,1268.74,1268.74
12381.0,2011-10-11 15:45:00,6.0,1274.74
12381.0,2011-10-12 11:30:00,4.5,1279.24
12381.0,2011-11-06 13:36:00,419.06,1698.3
12381.0,2011-12-05 12:44:00,147.01,1845.31
12383.0,2010-12-22 14:28:00,600.72,600.72
12383.0,2011-01-12 14:10:00,651.16,1251.88
12383.0,2011-03-14 08:41:00,357.07,1608.95
12383.0,2011-04-15 14:10:00,142.16,1751.11
12383.0,2011-06-08 08:02:00,99.45,1850.56
12384.0,2011-08-10 11:23:00,292.69,292.69
12384.0,2011-11-11 08:39:00,292.58,585.27
12386.0,2010-12-08 09:53:00,258.9,258.9
12386.0,2011-01-06 12:37:00,143.0,401.9
12388.0,2011-01-17 11:12:00,431.3,431.3
12388.0,2011-02-07 13:59:00,124.05,555.35
12388.0,2011-03-09 15:47:00,210.9,766.25
12388.0,2011-07-14 13:28:00,902.09,1668.34
12388.0,2011-09-25 11:30:00,825.92,2494.26
12388.0,2011-11-24 12:30:00,286.4,2780.66
12390.0,2011-09-21 09:33:00,549.84,549.84
12391.0,2011-11-18 12:07:00,460.89,460.89
12393.0,2011-01-11 09:47:00,462.5,462.5
12393.0,2011-01-14 11:36:00,177.0,639.5
12393.0,2011-04-08 09:45:00,421.6,1061.1
12393.0,2011-09-28 15:41:00,521.5,1582.6
12394.0,2011-05-06 14:01:00,381.08,381.08
12394.0,2011-10-07 08:08:00,891.4,1272.48
12395.0,2010-12-03 16:35:00,346.1,346.1
12395.0,2010-12-17 16:00:00,333.82,679.92
12395.0,2011-02-11 12:16:00,231.51,911.43
12395.0,2011-03-23 14:33:00,326.5,1237.93
12395.0,2011-05-05 14:38:00,149.97,1387.9
12395.0,2011-05-12 10:15:00,181.82,1569.72
12395.0,2011-06-30 16:52:00,163.9,1733.62
12395.0,2011-08-19 15:18:00,165.95,1899.57
12395.0,2011-10-04 13:45:00,346.68,2246.25
12395.0,2011-11-08 16:12:00,263.08,2509.33
12395.0,2011-11-08 16:15:00,243.47,2752.8
12395.0,2011-11-20 15:21:00,265.83,3018.63
12397.0,2011-07-27 14:21:00,1214.81,1214.81
12397.0,2011-11-04 09:52:00,1195.09,2409.9
12398.0,2011-10-25 10:27:00,1635.66,1635.66
12399.0,2011-03-23 09:42:00,288.05,288.05
12399.0,2011-05-10 10:22:00,480.9,768.95
12399.0,2011-06-09 13:09:00,130.08,899.03
12399.0,2011-08-12 13:15:00,209.62,1108.65
12401.0,2011-02-09 13:50:00,84.3,84.3
12402.0,2011-01-20 13:49:00,225.6,225.6
12403.0,2011-10-21 10:51:00,427.7,427.7
12405.0,2011-07-14 08:52:00,1710.39,1710.39
12406.0,2011-06-09 10:23:00,1621.25,1621.25
12406.0,2011-11-17 19:22:00,1794.05,3415.3
12407.0,2011-03-20 13:21:00,226.3,226.3
12407.0,2011-04-18 12:25:00,269.66,495.96
12407.0,2011-07-06 09:49:00,719.06,1215.02
12407.0,2011-07-28 16:28:00,192.34,1407.36
12407.0,2011-10-21 10:11:00,300.76,1708.12
12408.0,2011-03-24 14:46:00,762.89,762.89
12408.0,2011-03-24 14:47:00,74.7,837.59
12408.0,2011-06-17 10:51:00,654.18,1491.77
12408.0,2011-09-02 10:27:00,642.28,2134.05
12408.0,2011-11-07 12:27:00,754.5,2888.55
12409.0,2011-06-10 12:19:00,6207.08,6207.08
12409.0,2011-09-21 14:15:00,4.95,6212.03
12409.0,2011-09-22 10:38:00,4860.64,11072.67
12410.0,2011-02-04 10:38:00,625.33,625.33
12410.0,2011-02-04 10:39:00,68.0,693.33
12412.0,2011-06-23 13:51:00,514.5,514.5
12412.0,2011-07-25 11:17:00,376.24,890.74
12412.0,2011-09-26 10:16:00,336.14,1226.88
12413.0,2011-01-06 16:12:00,479.25,479.25
12413.0,2011-04-17 15:33:00,84.65,563.9
12413.0,2011-10-04 09:00:00,194.2,758.1
12414.0,2011-02-02 14:51:00,153.76,153.76
12414.0,2011-04-26 09:12:00,242.8,396.56
12414.0,2011-05-06 14:51:00,165.85,562.41
12415.0,2011-01-06 11:12:00,7011.38,7011.38
12415.0,2011-01-10 09:58:00,81.6,7092.98
12415.0,2011-02-15 09:52:00,14022.92,21115.9
12415.0,2011-03-03 10:59:00,16726.84,37842.74
12415.0,2011-04-01 14:28:00,350.0,38192.74
